,image_id,img_filename,y,split,place
0,0,train/ISIC_0027874.jpg,0,0,0
1,1,train/ISIC_0030245.jpg,1,0,1
2,2,train/ISIC_0027785.jpg,0,0,0
3,3,train/ISIC_0026243.jpg,0,0,0
4,4,train/ISIC_0029208.jpg,0,0,0
5,5,train/ISIC_0028517.jpg,1,0,0
6,6,train/ISIC_0030050.jpg,0,0,0
7,7,train/ISIC_0028670.jpg,0,0,1
8,8,train/ISIC_0028473.jpg,0,0,1
9,9,train/ISIC_0025844.jpg,0,0,0
10,10,train/ISIC_0027573.jpg,1,0,0
11,11,train/ISIC_0034296.jpg,0,0,1
12,12,train/ISIC_0030699.jpg,0,0,0
13,13,train/ISIC_0027621.jpg,0,0,0
14,14,train/ISIC_0029295.jpg,0,0,0
15,15,train/ISIC_0025850.jpg,0,0,0
16,16,train/ISIC_0025113.jpg,0,0,1
17,17,train/ISIC_0026212.jpg,1,0,0
18,18,train/ISIC_0032308.jpg,1,0,1
19,19,train/ISIC_0024848.jpg,0,0,1
20,20,train/ISIC_0026341.jpg,0,0,0
21,21,train/ISIC_0024909.jpg,0,0,1
22,22,train/ISIC_0028364.jpg,0,0,0
23,23,train/ISIC_0032376.jpg,0,0,0
24,24,train/ISIC_0028368.jpg,0,0,0
25,25,train/ISIC_0025168.jpg,0,0,0
26,26,train/ISIC_0030065.jpg,0,0,1
27,27,train/ISIC_0030991.jpg,1,0,0
28,28,train/ISIC_0028535.jpg,0,0,0
29,29,train/ISIC_0028710.jpg,0,0,0
30,30,train/ISIC_0028855.jpg,0,0,0
31,31,train/ISIC_0034123.jpg,0,0,1
32,32,train/ISIC_0032970.jpg,1,0,0
33,33,train/ISIC_0026612.jpg,0,0,0
34,34,train/ISIC_0032223.jpg,0,0,0
35,35,train/ISIC_0033908.jpg,0,0,1
36,36,train/ISIC_0029751.jpg,0,0,1
37,37,train/ISIC_0025060.jpg,0,0,0
38,38,train/ISIC_0025447.jpg,0,0,0
39,39,train/ISIC_0026841.jpg,0,0,1
40,40,train/ISIC_0033263.jpg,0,0,0
41,41,train/ISIC_0030278.jpg,0,0,0
42,42,train/ISIC_0028124.jpg,0,0,0
43,43,train/ISIC_0029090.jpg,0,0,0
44,44,train/ISIC_0032509.jpg,1,0,1
45,45,train/ISIC_0028160.jpg,0,0,0
46,46,train/ISIC_0030027.jpg,0,0,0
47,47,train/ISIC_0028587.jpg,0,0,1
48,48,train/ISIC_0027062.jpg,0,0,1
49,49,train/ISIC_0029195.jpg,0,0,1
50,50,train/ISIC_0026644.jpg,0,0,0
51,51,train/ISIC_0025392.jpg,0,0,0
52,52,train/ISIC_0031904.jpg,0,0,0
53,53,train/ISIC_0031083.jpg,0,0,1
54,54,train/ISIC_0030203.jpg,0,0,0
55,55,train/ISIC_0026956.jpg,0,0,0
56,56,train/ISIC_0026110.jpg,0,0,0
57,57,train/ISIC_0026416.jpg,0,0,0
58,58,train/ISIC_0030819.jpg,0,0,0
59,59,train/ISIC_0033694.jpg,0,0,0
60,60,train/ISIC_0028539.jpg,0,0,0
61,61,train/ISIC_0027425.jpg,0,0,1
62,62,train/ISIC_0029039.jpg,0,0,0
63,63,train/ISIC_0034138.jpg,0,0,0
64,64,train/ISIC_0033173.jpg,0,0,0
65,65,train/ISIC_0028854.jpg,1,0,0
66,66,train/ISIC_0030362.jpg,0,0,0
67,67,train/ISIC_0030482.jpg,0,0,0
68,68,train/ISIC_0028501.jpg,0,0,0
69,69,train/ISIC_0029490.jpg,0,0,0
70,70,train/ISIC_0031253.jpg,0,0,0
71,71,train/ISIC_0025830.jpg,0,0,1
72,72,train/ISIC_0032877.jpg,0,0,1
73,73,train/ISIC_0034206.jpg,0,0,0
74,74,train/ISIC_0024717.jpg,0,0,0
75,75,train/ISIC_0024973.jpg,0,0,1
76,76,train/ISIC_0024905.jpg,0,0,0
77,77,train/ISIC_0025608.jpg,0,0,0
78,78,train/ISIC_0033686.jpg,0,0,1
79,79,train/ISIC_0024596.jpg,0,0,0
80,80,train/ISIC_0032051.jpg,0,0,0
81,81,train/ISIC_0028779.jpg,0,0,1
82,82,train/ISIC_0027780.jpg,0,0,1
83,83,train/ISIC_0026467.jpg,0,0,0
84,84,train/ISIC_0030799.jpg,0,0,0
85,85,train/ISIC_0031122.jpg,0,0,1
86,86,train/ISIC_0026819.jpg,0,0,0
87,87,train/ISIC_0032685.jpg,1,0,1
88,88,train/ISIC_0030796.jpg,0,0,0
89,89,train/ISIC_0027272.jpg,0,0,0
90,90,train/ISIC_0027586.jpg,0,0,0
91,91,train/ISIC_0030253.jpg,0,0,0
92,92,train/ISIC_0029862.jpg,0,0,0
93,93,train/ISIC_0032229.jpg,0,0,1
94,94,train/ISIC_0027337.jpg,0,0,1
95,95,train/ISIC_0026007.jpg,0,0,1
96,96,train/ISIC_0025945.jpg,0,0,1
97,97,train/ISIC_0024691.jpg,0,0,0
98,98,train/ISIC_0025146.jpg,0,0,0
99,99,train/ISIC_0030312.jpg,0,0,0
100,100,train/ISIC_0030111.jpg,0,0,0
101,101,train/ISIC_0024976.jpg,0,0,0
102,102,train/ISIC_0028571.jpg,0,0,1
103,103,train/ISIC_0031582.jpg,0,0,0
104,104,train/ISIC_0029074.jpg,0,0,0
105,105,train/ISIC_0033898.jpg,0,0,0
106,106,train/ISIC_0024931.jpg,0,0,1
107,107,train/ISIC_0033117.jpg,1,0,0
108,108,train/ISIC_0025315.jpg,0,0,0
109,109,train/ISIC_0034076.jpg,1,0,0
110,110,train/ISIC_0032125.jpg,0,0,0
111,111,train/ISIC_0032499.jpg,0,0,0
112,112,train/ISIC_0030272.jpg,0,0,0
113,113,train/ISIC_0028503.jpg,0,0,1
114,114,train/ISIC_0028878.jpg,1,0,0
115,115,train/ISIC_0031876.jpg,0,0,1
116,116,train/ISIC_0034279.jpg,0,0,0
117,117,train/ISIC_0032014.jpg,1,0,0
118,118,train/ISIC_0025044.jpg,0,0,0
119,119,train/ISIC_0025376.jpg,0,0,1
120,120,train/ISIC_0026033.jpg,0,0,0
121,121,train/ISIC_0027342.jpg,0,0,0
122,122,train/ISIC_0033761.jpg,0,0,0
123,123,train/ISIC_0032702.jpg,0,0,1
124,124,train/ISIC_0026013.jpg,0,0,0
125,125,train/ISIC_0025898.jpg,0,0,0
126,126,train/ISIC_0025401.jpg,0,0,0
127,127,train/ISIC_0033518.jpg,1,0,1
128,128,train/ISIC_0025858.jpg,0,0,0
129,129,train/ISIC_0027322.jpg,0,0,0
130,130,train/ISIC_0029731.jpg,0,0,1
131,131,train/ISIC_0025532.jpg,0,0,0
132,132,train/ISIC_0027630.jpg,0,0,0
133,133,train/ISIC_0031453.jpg,0,0,0
134,134,train/ISIC_0024663.jpg,0,0,0
135,135,train/ISIC_0032564.jpg,1,0,1
136,136,train/ISIC_0033607.jpg,1,0,0
137,137,train/ISIC_0032470.jpg,0,0,0
138,138,train/ISIC_0028583.jpg,0,0,1
139,139,train/ISIC_0026983.jpg,0,0,0
140,140,train/ISIC_0030749.jpg,0,0,0
141,141,train/ISIC_0026486.jpg,0,0,0
142,142,train/ISIC_0028127.jpg,1,0,1
143,143,train/ISIC_0033405.jpg,1,0,1
144,144,train/ISIC_0030265.jpg,0,0,0
145,145,train/ISIC_0032309.jpg,0,0,0
146,146,train/ISIC_0032682.jpg,0,0,0
147,147,train/ISIC_0028290.jpg,0,0,0
148,148,train/ISIC_0029268.jpg,1,0,1
149,149,train/ISIC_0027611.jpg,0,0,0
150,150,train/ISIC_0030347.jpg,0,0,0
151,151,train/ISIC_0033742.jpg,0,0,0
152,152,train/ISIC_0032343.jpg,0,0,1
153,153,train/ISIC_0031201.jpg,0,0,0
154,154,train/ISIC_0030328.jpg,0,0,0
155,155,train/ISIC_0030524.jpg,0,0,0
156,156,train/ISIC_0027471.jpg,0,0,1
157,157,train/ISIC_0030780.jpg,0,0,0
158,158,train/ISIC_0032158.jpg,0,0,0
159,159,train/ISIC_0031529.jpg,1,0,0
160,160,train/ISIC_0031355.jpg,0,0,0
161,161,train/ISIC_0030680.jpg,0,0,1
162,162,train/ISIC_0033170.jpg,0,0,0
163,163,train/ISIC_0028307.jpg,0,0,1
164,164,train/ISIC_0033283.jpg,0,0,0
165,165,train/ISIC_0027389.jpg,0,0,0
166,166,train/ISIC_0025207.jpg,0,0,0
167,167,train/ISIC_0024811.jpg,0,0,0
168,168,train/ISIC_0028312.jpg,0,0,0
169,169,train/ISIC_0024634.jpg,0,0,1
170,170,train/ISIC_0025956.jpg,0,0,0
171,171,train/ISIC_0026980.jpg,0,0,0
172,172,train/ISIC_0025547.jpg,0,0,0
173,173,train/ISIC_0031871.jpg,0,0,0
174,174,train/ISIC_0025658.jpg,0,0,0
175,175,train/ISIC_0032759.jpg,0,0,0
176,176,train/ISIC_0030875.jpg,0,0,0
177,177,train/ISIC_0025496.jpg,0,0,0
178,178,train/ISIC_0027767.jpg,1,0,1
179,179,train/ISIC_0027481.jpg,0,0,1
180,180,train/ISIC_0025587.jpg,0,0,0
181,181,train/ISIC_0024902.jpg,0,0,0
182,182,train/ISIC_0033489.jpg,0,0,0
183,183,train/ISIC_0028705.jpg,0,0,0
184,184,train/ISIC_0030394.jpg,0,0,0
185,185,train/ISIC_0028094.jpg,0,0,1
186,186,train/ISIC_0030669.jpg,0,0,0
187,187,train/ISIC_0028343.jpg,0,0,0
188,188,train/ISIC_0027127.jpg,0,0,0
189,189,train/ISIC_0030877.jpg,1,0,0
190,190,train/ISIC_0024396.jpg,0,0,1
191,191,train/ISIC_0032323.jpg,0,0,0
192,192,train/ISIC_0026966.jpg,0,0,0
193,193,train/ISIC_0027991.jpg,0,0,0
194,194,train/ISIC_0026186.jpg,0,0,0
195,195,train/ISIC_0028978.jpg,0,0,0
196,196,train/ISIC_0025179.jpg,0,0,1
197,197,train/ISIC_0027426.jpg,0,0,0
198,198,train/ISIC_0028492.jpg,0,0,0
199,199,train/ISIC_0029901.jpg,0,0,0
200,200,train/ISIC_0024558.jpg,0,0,1
201,201,train/ISIC_0032447.jpg,1,0,1
202,202,train/ISIC_0027860.jpg,0,0,0
203,203,train/ISIC_0024563.jpg,0,0,0
204,204,train/ISIC_0031379.jpg,0,0,0
205,205,train/ISIC_0025353.jpg,0,0,0
